month,region,product,revenue,units
2025-01,华东,扫地机器人,273000,109
2025-01,华东,蓝牙耳机,361000,903
2025-01,华东,智能音箱|青春版,122000,407
2025-01,华南,扫地机器人,210000,84
2025-01,华南,蓝牙耳机,278000,695
2025-01,华北,扫地机器人,168000,67
2025-01,华北,蓝牙耳机,222000,555
2025-01,西南,扫地机器人,126000,50
2025-01,西南,蓝牙耳机,167000,418
2025-02,华东,扫地机器人,312000,125
2025-02,华东,蓝牙耳机,333000,833
2025-02,华东,智能音箱|青春版,127000,423
2025-02,华南,扫地机器人,240000,96
2025-02,华南,蓝牙耳机,256000,640
2025-02,华北,扫地机器人,192000,77
2025-02,华北,蓝牙耳机,205000,513
2025-02,西南,扫地机器人,144000,58
2025-02,西南,蓝牙耳机,154000,385
2025-03,华东,扫地机器人,351000,140
2025-03,华东,蓝牙耳机,304000,760
2025-03,华东,智能音箱|青春版,133000,443
2025-03,华南,扫地机器人,270000,108
2025-03,华南,蓝牙耳机,234000,585
2025-03,华北,扫地机器人,216000,86
2025-03,华北,蓝牙耳机,187000,468
2025-03,西南,扫地机器人,162000,65
2025-03,西南,蓝牙耳机,140000,350
2025-04,华东,扫地机器人,390000,156
2025-04,华东,蓝牙耳机,276000,690
2025-04,华东,智能音箱|青春版,138000,460
2025-04,华南,扫地机器人,300000,120
2025-04,华南,蓝牙耳机,212000,530
2025-04,华北,扫地机器人,240000,96
2025-04,华北,蓝牙耳机,170000,425
2025-04,西南,扫地机器人,180000,72
2025-04,西南,蓝牙耳机,127000,318
2025-05,华东,扫地机器人,429000,172
2025-05,华东,蓝牙耳机,247000,618
2025-05,华东,智能音箱|青春版,143000,477
2025-05,华南,扫地机器人,330000,132
2025-05,华南,蓝牙耳机,190000,475
2025-05,华北,扫地机器人,264000,106
2025-05,华北,蓝牙耳机,152000,380
2025-05,西南,扫地机器人,198000,79
2025-05,西南,蓝牙耳机,114000,285
2025-06,华东,扫地机器人,468000,187
2025-06,华东,蓝牙耳机,218000,545
2025-06,华东,智能音箱|青春版,148000,493
2025-06,华南,扫地机器人,360000,144
2025-06,华南,蓝牙耳机,168000,420
2025-06,华北,扫地机器人,288000,115
2025-06,华北,蓝牙耳机,134000,335
2025-06,西南,扫地机器人,216000,86
2025-06,西南,蓝牙耳机,101000,253
